Station                                                  Index         lat        lon      type
Cape_Romain_National_Wildlife_Refuge                       CPR        32.94     -79.66       ap
Savannah_River                                             SVN        33.25     -81.65       ap
Clifty_Falls_State_Park                                    CLF        38.76     -85.42       ap
Valley_Forge                                               VLF        40.12     -75.88       ap
Erie                                                       ERI        42.16     -80.11       ap
Centreville                                                CTV        32.90     -87.25       ap
Yorkville                                                  YKV        33.93     -85.05       ap
Carrabassett_Valley                                        CBT        45.08     -70.21       ap
Mingo_National_Wildlife_Refuge                             MNG        36.97     -90.14       ap
Mammoth_Cave_National_Park-Houchin_Meadow                  MMC        37.13     -86.15       ap
Oak_Grove                                                  OKG        30.99     -88.93       ap
Devil's_Lake                                               DVL        43.44     -89.68       ap
Millersville                                               MLV        39.99     -76.39       ap
Sapelo_Island                                              SPI        31.40     -81.28       ap
Stilwell                                                   STW        35.75     -94.67       ap
Lesperance_Ranch                                           LPR        41.50    -117.50       ap
Gibb's_Ranch                                               GBR        41.57    -115.21       ap
Milwaukee                                                  MWK        43.08     -87.88       ap
Cedar_Beach__Southold                                      CBS        41.03     -72.39       ap
Beltsville                                                 BTV        39.03     -76.82       ap
Piney_Reservoir                                            PNY        39.71     -79.01       ap
New_Brunswick                                              NBW        40.47     -74.42       ap
Athens_Super_Site                                          ATN        39.31     -82.12       ap
Henry_Kroeger                                              HRK        51.42    -110.83       ap
Potawatomi                                                 PTW        45.56     -88.81       ap
Candor                                                     CND        35.26     -79.84       ap
Sycamore_Canyon                                            SMC        35.14    -111.97       ap
Makah_National_Fish_Hatchery                               MKH        48.29    -124.65       ap
Converse_Flats                                             CNF        34.19    -116.91       ap
Yurok_Tribe-Requa                                          YTR        41.56    -124.09       ap
McGee_Creek                                                MGC        34.32     -95.89       ap
Copan                                                      CPN        36.91     -95.88       ap
Genesee                                                    GNS        53.30    -114.20       ap
Eagle_Butte                                                EGL        44.99    -101.24       ap
Smithsonian_Environmental_Research_Center                  SSN        38.89     -76.56       ap
Everglades-Western_Broward_County                          EWB        26.17     -80.82       ap
Salt_Lake_City                                             SLC        40.71    -111.96       ap
Lake_Murray                                                LMR        34.10     -97.07       ap
Little_Pine_State_Park                                     LTP        41.36     -77.36       ap
Kodiak                                                     KDK        57.72    -152.56       ap
Reserve                                                    RSR        39.98     -95.57       ap
Glen_Elder_State_Park                                      GES        39.51     -98.34       ap
Cimarron_National_Grassland                                CMR        37.13    -101.82       ap
Glacier_Bay_National_Park-Bartlett_Cove                    BRC        58.46    -135.87       ap
Wichita_Mountains_NWR                                      WCT        34.73     -98.71       ap
West_Mineral                                               WMN        37.27     -94.94       ap
Dutch_Harbor                                               DHR        53.85    -166.50       ap
Rochester                                                  RCS        43.15     -77.55       ap
Bronx                                                      BRX        40.87     -73.88       ap
Blaine                                                     BLN        45.14     -93.22       ap
Gates_of_the_Arctic_National_Park-Bettles                  BTT        66.91    -151.68       ap
Coffey_County_Lake                                         CFY        38.20     -95.66       ap
Fort_Collins                                               FCL        40.59    -105.14       ap
Saturna_Island                                             STR        48.78    -123.13       ap
Grand_Bay_NERR                                             GRB        30.43     -88.43       ap
Chapais                                                    CPS        49.82     -74.98       ap
Stephenville                                               SPV        48.56     -58.57       ap
Goddard_State_Park                                         GDR        41.43     -80.15       ap
Badger_Peak                                                BDP        45.63    -106.55       ap
Horicon_Marsh                                              HRM        43.47     -88.62       ap
Santee                                                     STE        42.83     -97.85       ap
Pensacola                                                  PSC        30.55     -87.38       ap
Birmingham                                                 BMH        33.55     -86.82       ap
Leech_Lake                                                 LEC        47.16     -94.15       ap
Miami                                                      MIM        36.90     -94.76       ap
Winnebago                                                  WNG        42.25     -96.47       ap
Roundtop_Mountain                                          RNT        42.53    -108.72       ap
Nome                                                       NOM        64.51    -165.40       ap
South_Bass_Island                                          STB        41.66     -82.83       ap
Beltsville_Second_Instrument                               BSV        39.03     -76.82       ap
Grand_Bay_NERR_Second_Instrument                           GNB        30.43     -88.43       ap
Thompson_Farm                                              TSF        43.11     -70.95       ap
Elizabeth_Lab                                              EZL        40.64     -74.21       ap
Rochester_B                                                RSB        43.15     -77.55       ap
Antelope_Island                                            ALI        41.05    -112.02       ap
Chester                                                    CHR        40.79     -74.68       ap
Canaan_Valley_Institute                                    CVI        39.06     -79.42       ap
Fort_McMurray                                              FTM        56.75    -111.48       ap
Mauna_Loa                                                  MLO        19.54    -155.58       ap
West_Coast_Marine_Boundary_Layer                           MBL        48.92    -125.54       ap
Mingan                                                     WBT        50.27     -64.23       ap
Whistler                                                   WSL        50.07    -122.93       ap
Accara                                                     ACR         5.55      -0.22       ap
