Station                   Index        lat          lon          type
Austria                   AT60172      47.0692      15.4319      ap
Austria                   AT60177      47.5654      14.2447      ap
Austria                   AT60178      47.2157      15.6284      ap
Austria                   AT60179      47.2829      15.9719      ap
Austria                   AT60180      47.4094      15.2533      ap
Austria                   AT60183      47.2064      15.3458      ap
Austria                   AT60191      47.1357      15.3232      ap
Austria                   AT60194      47.6047      15.6731      ap
Austria                   AT60195      46.8139      15.2128      ap
Austria                   AT60197      46.7783      15.5406      ap
Austria                   AT60198      47.0473      16.0791      ap
Austria                   AT72106      47.2713      11.4169      ap
Austria                   AT72110      47.2626      11.3924      ap
Austria                   AT72223      47.2396      11.3907      ap
Austria                   AT72227      47.2781      11.5125      ap
Austria                   AT72315      47.2169      10.7357      ap
Austria                   AT72519      47.4286      11.8718      ap
Austria                   AT72530      47.4886      12.0666      ap
Austria                   AT72552      47.5818      12.1724      ap
Austria                   AT72710      47.4476      10.7441      ap
Austria                   AT72821      47.3488      11.692       ap
Austria                   AT72822      47.35        11.6945      ap
Austria                   AT72910      46.8277      12.7656      ap
Austria                   AT80706      47.4102      9.6537       ap
Austria                   AT80709      47.4597      9.6406       ap
Austria                   AT80710      47.4325      9.6505       ap
Austria                   AT80807      47.41        9.7434       ap
Austria                   AT81919      47.2394      9.5977       ap
Austria                   AT82708      47.1565      9.8229       ap
Austria                   AT900KE      48.1567      16.4761      ap
Austria                   AT90A23      48.2031      16.4346      ap
Austria                   AT90AKC      48.2191      16.3498      ap
Austria                   AT90FLO      48.2611      16.397       ap
Austria                   AT90LAA      48.161       16.3929      ap
Austria                   AT90LOB      48.1621      16.5256      ap
Austria                   AT90MBA      48.1884      16.3         ap
Austria                   AT90TAB      48.2167      16.3809      ap
Austria                   AT9BELG      48.1744      16.3614      ap
Austria                   AT9GAUD      48.1871      16.3393      ap
Austria                   AT9KEND      48.205       16.3098      ap
Austria                   AT9LIES      48.1412      16.3013      ap
Austria                   AT9SCHA      48.2354      16.3016      ap
Austria                   AT9STAD      48.2264      16.4583      ap
Bosnia_and_Herzegovina    BA0001G      43.7783      18.0203      ap
Bosnia_and_Herzegovina    BA0002A      44.2022      17.9005      ap
Bosnia_and_Herzegovina    BA0029A      43.8675      18.4231      ap
Bosnia_and_Herzegovina    BA0031A      44.5406      18.6733      ap
Bosnia_and_Herzegovina    BA0037A      44.199       17.9127      ap
Bosnia_and_Herzegovina    BA0040A      44.343       17.2679      ap
Bosnia_and_Herzegovina    BA0041A      43.6616      18.9775      ap
Bosnia_and_Herzegovina    BA0042A      43.8484      18.3637      ap
Bosnia_and_Herzegovina    BA0045A      44.5332      18.5347      ap
Bosnia_and_Herzegovina    BA0046A      44.4541      18.6485      ap
Bosnia_and_Herzegovina    BA0047A      45.07        17.59        ap
Bosnia_and_Herzegovina    BA0048A      44.97        16.71        ap
Belgium                   BEGR701      51.0583      3.7293       ap
Belgium                   BEGR801      51.2097      4.4318       ap
Belgium                   BEGRT01      51.2309      5.0533       ap
Belgium                   BELAB02      51.3407      4.3218       ap
Belgium                   BELAL01      51.2362      4.3852       ap
Belgium                   BELAL02      51.3045      4.2348       ap
Belgium                   BELAL05      51.2631      4.2789       ap
Belgium                   BELGK06      50.9279      5.4706       ap
Belgium                   BELHB23      51.1703      4.341        ap
Belgium                   BELMN01      50.7935      3.1096       ap
Belgium                   BELOB01      50.9172      3.3074       ap
Belgium                   BELOB02      50.915       3.3762       ap
Belgium                   BELRB01      51.0894      4.3312       ap
Belgium                   BELRL01      50.9532      3.1212       ap
Belgium                   BELSA04      51.3139      4.4039       ap
Belgium                   BELSZ02      50.913       4.5122       ap
Belgium                   BEPAL05      51.2631      4.2789       ap
Belgium                   BEPGI04      50.9352      4.4022       ap
Belgium                   BEPGK32      50.9415      5.5117       ap
Belgium                   BEPN029      51.0163      2.5823       ap
Belgium                   BEPN060      50.6167      3.4576       ap
Belgium                   BEPN063      50.6554      4.6683       ap
Belgium                   BEPN085      50.3032      6.0017       ap
Belgium                   BEPN093      50.2745      5.2352       ap
Belgium                   BEPN100      50.0957      4.5948       ap
Belgium                   BEPN121      49.8771      5.2024       ap
Belgium                   BEPN132      49.7193      5.6304       ap
Belgium                   BEPNT02      50.5111      6.0738       ap
Belgium                   BEPNT07      50.5079      3.591        ap
Belgium                   BEPR222      50.6134      5.5702       ap
Belgium                   BEPR511      50.3776      4.4247       ap
Belgium                   BEPR701      51.0583      3.7293       ap
Belgium                   BEPR740      51.1501      3.8087       ap
Belgium                   BEPR750      51.1961      3.8229       ap
Belgium                   BEPR802      51.2097      4.4318       ap
Belgium                   BETB001      50.8458      4.3681       ap
Belgium                   BETB004      50.8521      4.3478       ap
Belgium                   BETB011      50.8578      4.2887       ap
Belgium                   BETH201      50.625       5.5475       ap
Belgium                   BETM204      50.6119      5.6112       ap
Belgium                   BETM705      50.9454      3.1524       ap
Belgium                   BETM802      51.261       4.4244       ap
Belgium                   BETMEU1      50.895       4.3957       ap
Belgium                   BETN012      51.2546      3.3625       ap
Belgium                   BETN016      51.2337      5.164        ap
Belgium                   BETN029      51.0163      2.5823       ap
Belgium                   BETN035      50.9775      4.8376       ap
Belgium                   BETN043      50.8837      4.383        ap
Belgium                   BETN052      50.8149      3.3225       ap
Belgium                   BETN054      50.7117      5.1032       ap
Belgium                   BETN060      50.6167      3.4576       ap
Belgium                   BETN063      50.6554      4.6683       ap
Belgium                   BETN067      50.6123      5.9928       ap
Belgium                   BETN070      50.4652      3.9397       ap
Belgium                   BETN073      50.5027      4.9884       ap
