Station           Index       lat          lon            type
Belgium           BEMHB23     51.1703      4.341          ap
Belgium           BEMN100     50.0957      4.5948         ap
Belgium           BEMN063     50.6554      4.6683         ap
Belgium           BEMH201     50.625       5.5475         ap
Belgium           BEMN132     49.719       5.6303         ap
Belgium           BEMBE01     51.324       4.8213         ap
Belgium           BEMR221     50.6584      5.6278         ap
Belgium           BEMGK11     50.9316      5.5204         ap
Belgium           BEMATH1     50.6351      3.7752         ap
Belgium           BEMN093     50.2745      5.2352         ap
Belgium           BEMCHA1     50.4093      4.4522         ap
Belgium           BEMCHA2     50.429       4.4587         ap
Belgium           BEMN085     50.3032      6.0017         ap
Belgium           BEMN060     50.6167      3.4576         ap
Belgium           BEMENG1     50.5836      5.3974         ap
Belgium           BEMNM01     50.4632      4.8724         ap
Belgium           BEMR750     51.1961      3.8229         ap
Belgium           BEMBE02     51.3321      4.8028         ap
Bulgaria          BG0025A     42.7082      24.1773        ap
Bulgaria          BG0034A     42.0232      24.8401        ap
Bulgaria          BG0020A     43.0742      25.6049        ap
Bulgaria          BG0070A     42.6372      23.2439        ap
Bulgaria          BG0061A     41.9302      25.5527        ap
Bulgaria          BG0078A     42.1412      24.788         ap
Bulgaria          BG0018A     41.6361      25.3797        ap
Bulgaria          BG0071A     42.6598      27.721         ap
Bulgaria          BG0024A     42.7275      23.556         ap
Bulgaria          BG0053R     41.6943      24.7381        ap
Bulgaria          BG0046A     42.5783      23.114         ap
Bulgaria          BG0083A     43.2173      27.936         ap
Croatia           HR0006A     45.4581      16.3884        ap
Croatia           HR0007A     45.8003      15.9741        ap
Cyprus            CY0004A     35.1519      33.3478        ap
Cyprus            CY0002R     35.038       33.0578        ap
Czechia           CZ0PPLR     49.7618      13.3816        ap
Czechia           CZ0ALIB     50.0073      14.4459        ap
Czechia           CZ0EPAU     50.024       15.7635        ap
Czechia           CZ0PPLX     49.7324      13.4023        ap
Czechia           CZ0TORO     49.8186      18.3404        ap
Czechia           CZ0HVEL     50.3542      15.8385        ap
Czechia           CZ0SBUS     50.1546      14.1899        ap
Czechia           CZ0TKAO     49.8589      18.5578        ap
Czechia           CZ0CCBT     48.9659      14.5088        ap
Czechia           CZ0ZTNV     49.2594      17.4106        ap
Czechia           CZ0CPIT     49.3105      14.1507        ap
Czechia           CZ0BBNI     49.2132      16.678         ap
Czechia           CZ0MOLS     49.5929      17.2662        ap
Czechia           CZ0BKUC     48.8814      16.0858        ap
Czechia           CZ0LLIL     50.7551      15.07          ap
Czechia           CZ0JKOS     49.5734      15.0803        ap
Czechia           CZ0JJIH     49.4016      15.6102        ap
Czechia           CZ0UDOK     50.4589      14.1702        ap
Czechia           CZ0UTUS     50.3766      13.3276        ap
Czechia           CZ0TOHO     49.8614      18.2133        ap
Czechia           CZ0SCRX     49.8384      15.2178        ap
Czechia           CZ0SKLS     50.1674      14.106         ap
Czechia           CZ0TBOX     49.9532      18.0885        ap
Czechia           CZ0TMIZ     49.868       18.569         ap
Czechia           CZ0BBNA     49.1888      16.627         ap
Czechia           CZ0LJIZ     50.82        15.3445        ap
Czechia           CZ0TCTN     49.749       18.6097        ap
Czechia           CZ0LJNM     50.7274      15.1622        ap
Czechia           CZ0TVER     49.9247      18.4229        ap
Czechia           CZ0TOPR     49.8563      18.2697        ap
Czechia           CZ0CCHU     49.0684      13.6148        ap
Czechia           CZ0ASRO     50.0751      14.4727        ap
Czechia           CZ0BHOD     48.8573      17.1314        ap
Czechia           CZ0TORE     49.8071      18.3391        ap
Czechia           CZ0LTAS     50.7385      15.3029        ap
Czechia           CZ0ESVR     49.7351      16.0342        ap
Czechia           CZ0UUDI     50.663       14.0312        ap
Czechia           CZ0LSOU     50.7896      15.3197        ap
Czechia           CZ0SPBR     49.6763      13.9912        ap
Czechia           CZ0ULOM     50.5858      13.6734        ap
Czechia           CZ0KSOM     50.1728      12.6728        ap
Czechia           CZ0MNMA     49.9557      17.0097        ap
Czechia           CZ0ARER     50.0304      14.3095        ap
Czechia           CZ0ARIE     50.0815      14.4427        ap
Czechia           CZ0HHKS     50.2117      15.8141        ap
Czechia           CZ0PKLS     49.4006      13.2869        ap
Czechia           CZ0TBKR     49.5026      18.5386        ap
Czechia           CZ0TCER     49.7771      17.5419        ap
Czechia           CZ0JJIZ     49.3924      15.5913        ap
Czechia           CZ0SKRP     50.2514      14.3166        ap
Czechia           CZ0SSTE     50.1706      14.1906        ap
Czechia           CZ0JZNZ     49.5646      15.941         ap
Czechia           CZ0TOPO     49.8253      18.1593        ap
Czechia           CZ0TOKO     49.9153      17.9657        ap
Czechia           CZ0UULK     50.6835      14.0412        ap
Czechia           CZ0JPEM     49.435       15.2083        ap
Czechia           CZ0SKLC     50.1671      14.1749        ap
Czechia           CZ0TCHO     49.778       18.5998        ap
Czechia           CZ0TOMH     49.8249      18.2637        ap
Denmark           DK0051A     56.1506      10.2008        ap
Denmark           DK0045A     55.7003      12.5614        ap
Denmark           DK0034A     55.6743      12.5711        ap
Estonia           EE0009R     59.4944      25.9306        ap
Estonia           EE0021A     58.3706      26.7347        ap
Estonia           EE0019A     59.4097      27.2786        ap
Estonia           EE0022A     59.3762      28.1792        ap
Estonia           EE0018A     59.4142      24.6495        ap
Finland           FI00184     61.3145      22.1369        ap
Finland           FI00893     60.53        27.6754        ap
Finland           FI00621     61.8611      24.2833        ap
Finland           FI00179     61.3317      22.1433        ap
Finland           FI00427     67.9852      24.1869        ap
France            FR35007     45.87        1.31           ap
France            FR12040     43.5569      1.4064         ap
France            FR12050     44.5603      2.2261         ap
France            FR04184     48.2315      2.7062         ap
France            FR41017     42.6713      9.4346         ap
France            FR35005     46.17        1.87           ap
France            FR39109     14.6708      -61.1634       ap
France            FR40006     5.1642       -52.6465       ap
France            FR23188     47.2225      -1.5375        ap
France            FR04331     48.9855      1.7541         ap
France            FR08712     42.7198      2.8399         ap
France            FR12030     43.5872      1.4439         ap
France            FR04004     48.8917      2.3467         ap
France            FR34108     48.1661      2.044          ap
France            FR31007     44.9003      -0.5147        ap
France            FR34038     46.8147      2.6101         ap
France            FR05084     49.4933      0.5719         ap
France            FR37010     15.9943      -61.7272       ap
France            FR37006     16.2367      -61.5341       ap
France            FR25048     49.4281      1.0578         ap
France            FR03043     43.3053      5.3947         ap
France            FR12020     43.6303      0.1797         ap
France            FR08020     43.6758      4.0884         ap
France            FR12039     43.5616      1.3933         ap
France            FR07034     45.7757      3.0963         ap
France            FR40007     4.8482       -52.3238       ap
France            FR07004     45.7973      3.1138         ap
France            FR15043     45.1619      5.7356         ap
France            FR02013     43.4589      4.9346         ap
France            FR12047     43.8039      1.5958         ap
France            FR06001     50.3585      3.508          ap
France            FR38014     -21.3129     55.4742        ap
France            FR05083     49.5027      0.2325         ap
France            FR19017     48.0896      -1.6591        ap
France            FR29424     45.4201      4.3954         ap
France            FR11016     50.67        3.0766         ap
France            FR24036     43.7021      7.2863         ap
France            FR18053     49.9025      2.3046         ap
France            FR36021     44.5694      5.279          ap
France            FR33121     45.675       6.3897         ap
France            FR18042     49.8513      3.284          ap
France            FR19020     48.262       -2.9436        ap
France            FR16029     48.6104      7.7816         ap
France            FR28034     50.6258      2.4732         ap
France            FR20062     45.7577      4.8542         ap
France            FR02008     43.4019      4.9819         ap
France            FR30030     48.6149      6.1077         ap
France            FR32002     46.8211      4.8351         ap
France            FR18043     49.2596      2.4744         ap
France            FR16302     48.493       7.1298         ap
France            FR14801     49.2336      4.0569         ap
France            FR10034     51.0245      2.3022         ap
France            FR14008     49.9078      4.63           ap
Germany           DEBB109     52.0897      13.1749        ap
Germany           DEBE034     52.4895      13.4308        ap
Germany           DEBW013     48.8088      9.2297         ap
Germany           DEBB064     51.7468      14.3345        ap
