ES_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
107    1    5    5    5    1    1    1    1    1    1    1    2    3
108    1    5    5    5    1    1    1    1    1    1    1    2    3
109    1    5    5    5    1    1    1    1    1    1    1    2    3
110    1    5    5    5    1    1    1    1    1    1    1    2    3
111    1    5    5    5    1    1    1    1    1    1    1    2    3
112    1    5    5    5    1    1    1    1    1    1    1    2    3
113    1    5    5    5    1    1    1    1    1    1    1    2    3
114    1    5    5    5    1    1    1    1    1    1    1    2    3
115    1    5    5    5    1    1    1    1    1    1    1    2    3
116    1    5    5    5    1    1    1    1    1    1    1    2    3
117    1    5    5    5    1    1    1    1    1    1    1    2    3
118    1    5    5    5    1    1    1    1    1    1    1    2    3
119    1    5    5    5    1    1    1    1    1    1    1    2    3
120    1    5    5    5    1    1    1    1    1    1    1    2    3
121    1    5    5    5    1    1    1    1    1    1    1    2    3
122    1    5    5    5    1    1    1    1    1    1    1    2    3
123    1    5    5    5    1    1    1    1    1    1    1    2    3
124    1    5    5    5    1    1    1    1    1    1    1    2    3
125    1    5    5    5    1    1    1    1    1    1    1    2    3
126    1    5    5    5    1    1    1    1    1    1    1    2    3
127    1    5    5    5    1    1    1    1    1    1    1    2    3
128    1    5    5    5    1    1    1    1    1    1    1    2    3
129    1    5    5    5    1    1    1    1    1    1    1    2    3
130    1    5    5    5    1    1    1    1    1    1    1    2    3
131    1    5    5    5    1    1    1    1    1    1    1    2    3
132    1    5    5    5    1    1    1    1    1    1    1    2    3
133    1    5    5    5    1    1    1    1    1    1    1    2    3
134    1    5    5    5    1    1    1    1    1    1    1    2    3
135    1    5    5    5    1    1    1    1    1    1    1    2    3
136    1    5    5    5    1    1    1    1    1    1    1    2    3
137    1    5    5    5    1    1    1    1    1    1    1    2    3
138    1    5    5    5    1    1    1    1    1    1    1    2    3
139    1    5    5    5    1    1    1    1    1    1    1    2    3
140    1    5    5    5    1    1    1    1    1    1    1    2    3
141    1    5    5    5    1    1    1    1    1    1    1    2    3
142    1    5    5    5    1    1    1    1    1    1    1    2    3
143    1    5    5    5    1    1    1    1    1    1    1    2    3
144    1    5    5    5    1    1    1    1    1    1    1    2    3
145    1    5    5    5    1    1    1    1    1    1    1    2    3
146    1    5    5    5    1    1    1    1    1    1    1    2    3
147    1    5    5    5    1    1    1    1    1    1    1    2    3
148    1    5    5    5    1    1    1    1    1    1    1    2    3
149    1    5    5    5    1    1    1    1    1    1    1    2    3
150    1    5    5    5    1    1    1    1    1    1    1    2    3
151    1    5    5    5    1    1    1    1    1    1    1    2    3
152    1    5    5    5    1    1    1    1    1    1    1    2    3
153    1    5    5    5    1    1    1    1    1    1    1    2    3
154    1    5    5    5    1    1    1    1    1    1    1    2    3
155    1    5    5    5    1    1    1    1    1    1    1    2    3
156    1    5    5    5    1    1    1    1    1    1    1    2    3
157    1    5    5    5    1    1    1    1    1    1    1    2    3
158    1    5    5    5    1    1    1    1    1    1    1    2    3
159    1    5    5    5    1    1    1    1    1    1    1    2    3
160    1    5    5    5    1    1    1    1    1    1    1    2    3
161    1    5    5    5    1    1    1    1    1    1    1    2    3
162    1    5    5    5    1    1    1    1    1    1    1    2    3
163    1    5    5    5    1    1    1    1    1    1    1    2    3
164    1    5    5    5    1    1    1    1    1    1    1    2    3
165    1    5    5    5    1    1    1    1    1    1    1    2    3
166    1    5    5    5    1    1    1    1    1    1    1    2    3
167    1    5    5    5    1    1    1    1    1    1    1    2    3
168    1    5    5    5    1    1    1    1    1    1    1    2    3
169    1    5    5    5    1    1    1    1    1    1    1    2    3
170    1    5    5    5    1    1    1    1    1    1    1    2    3
171    1    5    5    5    1    1    1    1    1    1    1    2    3
172    1    5    5    5    1    1    1    1    1    1    1    2    3
173    1    5    5    5    1    1    1    1    1    1    1    2    3
174    1    5    5    5    1    1    1    1    1    1    1    2    3
175    1    5    5    5    1    1    1    1    1    1    1    2    3
176    1    5    5    5    1    1    1    1    1    1    1    2    3
177    1    5    5    5    1    1    1    1    1    1    1    2    3
178    1    5    5    5    1    1    1    1    1    1    1    2    3
179    1    5    5    5    1    1    1    1    1    1    1    2    3
  1    2    5    5    5    1    1    1    1    1    1    1    2    3
  2    2    5    5    5    1    1    1    1    1    1    1    2    3
  3    2    5    5    5    1    1    1    1    1    1    1    2    3
  4    2    5    5    5    1    1    1    1    1    1    1    2    3
  5    2    5    5    5    1    1    1    1    1    1    1    2    3
  6    2    5    5    5    1    1    1    1    1    1    1    2    3
  7    2    5    5    5    1    1    1    1    1    1    1    2    3
  8    2    5    5    5    1    1    1    1    1    1    1    2    3
  9    2    5    5    5    1    1    1    1    1    1    1    2    3
 10    2    5    5    5    1    1    1    1    1    1    1    2    3
 11    2    5    5    5    1    1    1    1    1    1    1    2    3
 12    2    5    5    5    1    1    1    1    1    1    1    2    3
 13    2    5    5    5    1    1    1    1    1    1    1    2    3
 14    2    5    5    5    1    1    1    1    1    1    1    2    3
 15    2    5    5    5    1    1    1    1    1    1    1    2    3
 16    2    5    5    5    1    1    1    1    1    1    1    2    3
 17    2    5    5    5    1    1    1    1    1    1    1    2    3
 18    2    5    5    5    1    1    1    1    1    1    1    2    3
 19    2    5    5    5    1    1    1    1    1    1    1    2    3
