PL_07
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1      2264.9565
           1           2      2104.0205
           1           3      1890.6083
           1           4      1664.9529
           1           5      1373.1616
           1           6      1131.6495
           1           7       961.5754
           1           8       924.9683
           1           9       888.5388
           1          10       843.8644
           1          11       788.9328
           1          12       723.0699
           1          13       650.2455
           1          14       586.5532
           1          15       555.2689
           1          16       537.8395
           1          17       533.4344
           1          18       521.6025
           1          19       507.9744
           1          20       490.6462
           1          21       478.3576
           1          22       469.4401
           1          23       467.8326
           1          24       466.1688
           1          25       463.1317
           1          26       453.4205
           1          27       440.6938
           1          28       425.0803
           1          29       410.0851
           1          30       409.4172
           1          31       420.3177
           1          32       437.1201
           1          33       446.3687
           1          34       451.2415
           1          35       453.6225
           1          36       456.3631
           1          37       455.9786
           1          38       449.3935
           1          39       442.8269
           1          40       441.2625
           1          41       437.2950
           1          42       433.2309
           1          43       443.9677
           1          44       467.8774
           1          45       499.0694
           1          46       534.9920
           1          47       582.8301
           1          48       620.0174
           1          49       623.2081
           1          50       612.4536
           1          51       602.1079
           1          52       582.9021
           1          53       561.5496
           1          54       538.8739
           1          55       512.3881
           1          56       477.4688
           1          57       438.7326
           1          58       402.0251
           1          59       366.2964
           1          60       334.7077
           1          61       309.6142
           1          62       293.1580
           1          63       273.3833
           1          64       252.1512
           1          65       224.1629
           1          66       196.7560
           1          67       173.9769
           1          68       153.8539
           1          69       136.6818
           1          70       126.8126
           1          71       121.1286
           1          72       113.8015
           1          73       108.1942
           1          74        95.8516
           1          75        83.4274
           1          76        75.9018
           1          77        72.6223
           1          78        68.9127
           1          79        66.2259
           1          80        65.1521
           1          81        63.5345
           1          82        60.6662
           1          83        56.5675
           1          84        51.4056
           1          85        45.7096
           1          86        41.4921
           1          87        38.4902
           1          88        36.4678
           1          89        35.7624
           1          90        34.0696
           1          91        32.0093
           1          92        28.7520
           1          93        26.5285
           1          94        26.2080
           1          95        26.8537
           1          96        30.6055
           1          97        36.7014
           1          98        44.6164
           1          99        51.7246
           1         100        60.5017
           1         101        70.0211
           1         102        70.2875
           1         103        66.3447
           1         104        60.9054
           1         105        55.6063
           1         106        49.1479
           1         107        42.1381
           1         108        38.7098
           1         109        39.8661
           1         110        46.2951
           1         111        46.9382
           1         112        46.4739
           1         113        43.1085
           1         114        32.5578
           1         115        20.5305
           1         116        10.1026
           1         117         3.5756
           1         118         0.0000
           1         119         0.0000
           1         120         0.0000
           1         121         1.2867
           1         122         3.6717
           1         123         4.9092
           1         124         5.2684
           1         125         4.6326
           1         126         4.3443
           1         127         3.7534
           1         128         4.7003
           1         129         7.1799
           1         130        10.8189
           1         131        16.8211
           1         132        23.4382
           1         133        27.1280
           1         134        31.0665
           1         135        35.6881
           1         136        39.0525
           1         137        40.2761
           1         138        37.7187
           1         139        30.0377
           1         140        21.2704
           1         141        14.0868
           1         142         8.2852
           1         143         5.0545
           1         144         2.4212
           1         145         0.5157
           1         146         0.2171
           2           1      2271.2476
           2           2      2155.0723
           2           3      1953.3523
           2           4      1781.8689
           2           5      1540.2214
           2           6      1258.8104
           2           7       971.1301
           2           8       852.3139
           2           9       846.4338
           2          10       852.2008
           2          11       811.5254
           2          12       698.1278
           2          13       589.0745
           2          14       539.4895
           2          15       526.2098
           2          16       519.7045
           2          17       523.8479
           2          18       523.6758
           2          19       514.2441
           2          20       493.8786
