GLOB_10x10
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1      1109.9508
           2           1       933.2443
           3           1       809.4466
           4           1       746.2137
           5           1       741.2018
           6           1       778.6324
           7           1       838.8527
           8           1       904.4756
           9           1       966.8351
          10           1      1026.1880
          11           1      1087.1410
          12           1      1158.4385
          13           1      1250.1716
          14           1      1367.8508
          15           1      1513.1406
          16           1      1683.9998
          17           1      1871.7471
          18           1      2064.9849
          19           1      2253.0125
          20           1      2425.9263
          21           1      2576.3726
          22           1      2699.8975
          23           1      2794.8518
          24           1      2861.8442
          25           1      2900.6965
          26           1      2909.8938
          27           1      2888.5083
          28           1      2835.1577
          29           1      2747.0164
          30           1      2622.4602
          31           1      2462.8953
          32           1      2270.6323
          33           1      2051.3794
          34           1      1815.1653
          35           1      1570.3326
          36           1      1328.4421
           1           2       291.3391
           2           2       102.6843
           3           2        60.2028
           4           2       183.6552
           5           2       438.1143
           6           2       677.8917
           7           2       791.9340
           8           2       867.0648
           9           2      1001.5265
          10           2      1067.0378
          11           2       996.0284
          12           2       809.6329
          13           2       538.6030
          14           2       368.9238
          15           2       411.9169
          16           2       715.6355
          17           2      1333.5977
          18           2      2054.9890
          19           2      2589.9646
          20           2      2893.2527
          21           2      3009.2039
          22           2      2979.0986
          23           2      2831.0996
          24           2      2565.7158
          25           2      2371.3022
          26           2      2476.8071
          27           2      2762.4634
          28           2      2950.0986
          29           2      2963.0024
          30           2      2892.7280
          31           2      2773.7500
          32           2      2548.0381
          33           2      2175.9790
          34           2      1594.2052
          35           2       954.0405
          36           2       542.1749
           1           3        -1.6365
           2           3         1.8719
           3           3        -2.6763
           4           3        19.6292
           5           3        89.0953
           6           3       104.2321
           7           3        16.5109
           8           3        -5.3095
           9           3        54.3311
          10           3       168.2265
          11           3       181.6316
          12           3       103.1338
          13           3        13.7794
          14           3        -7.6842
          15           3       -14.3741
          16           3         5.2031
          17           3       156.0869
          18           3       439.7248
          19           3       616.3472
          20           3       686.6416
          21           3       707.4843
          22           3       695.3197
          23           3       637.0924
          24           3       469.6484
          25           3       317.4187
          26           3       391.1418
          27           3       592.2332
          28           3       684.1825
          29           3       642.1499
          30           3       595.5078
          31           3       589.7420
          32           3       561.6416
          33           3       467.3507
          34           3       253.7447
          35           3        26.2789
          36           3       -14.4060
           1           4         0.5728
           2           4        -0.1870
           3           4         2.2216
           4           4         0.2689
           5           4        -0.1722
           6           4         0.0107
           7           4         0.0639
           8           4        -0.0205
           9           4        -0.0494
          10           4         0.0366
          11           4         0.0791
          12           4        -0.2126
          13           4         0.2533
