GH_01x01
           i           j   heigt(m a.s.l.)
           4          17       286.9440
           4          18       287.0255
           4          19       286.8122
           4          20       283.9741
           4          21       278.3261
           4          22       267.9426
           4          23       259.5974
           4          24       254.4013
           4          25       245.2076
           4          26       241.8317
           4          27       240.3540
           4          28       233.9751
           4          29       230.1175
           4          30       220.8836
           4          31       210.2358
           4          32       208.8964
           4          33       206.4314
           4          34       207.2947
           4          35       219.6945
           4          36       233.7190
           4          37       240.6316
           4          38       239.7262
           4          39       238.7253
           4          40       238.7721
           4          41       239.0893
           4          42       246.9831
           4          43       256.6160
           4          44       258.1880
           4          45       256.7613
           4          46       258.9652
           4          47       262.5582
           4          48       264.9341
           4          49       270.0068
           4          50       276.6893
           4          51       288.3917
           4          52       300.8631
           4          53       306.7713
           4          54       305.5905
           4          55       305.2741
           4          56       307.6320
           4          57       309.4110
           4          58       309.2989
           4          59       309.1518
           4          60       310.0847
           4          61       312.3208
           4          62       320.4593
           4          63       333.1832
           4          64       346.1528
           4          65       359.4903
           4          66       384.6882
           4          67       416.5568
           4          68       441.8262
           4          69       458.0212
           4          70       471.9554
           4          71       483.2478
           4          72       489.4763
           4          73       492.4323
           4          74       494.2546
           4          75       496.0748
           4          76       483.4086
           4          77       461.6062
           4          78       453.6998
           4          79       457.2625
           4          80       459.3585
           4          81       462.3832
           4          82       470.2263
           4          83       484.2429
           4          84       499.5577
           4          85       517.8359
           4          86       545.5176
           4          87       571.2479
           4          88       587.0254
           4          89       593.4816
           4          90       596.7311
           4          91       599.2620
           4          92       604.9254
           4          93       611.4261
           4          94       618.7151
           4          95       626.1721
           4          96       633.4695
           4          97       640.4031
           4          98       657.4977
           4          99       680.7881
           4         100       691.7091
           5           1       335.8348
           5           2       338.6511
           5           3       333.0098
           5           4       322.6011
           5           5       311.1517
           5           6       305.2080
           5           7       300.1419
           5           8       295.0098
           5           9       290.8723
           5          10       285.8741
           5          11       286.0274
           5          12       296.5260
           5          13       303.6174
           5          14       301.4533
           5          15       297.1298
           5          16       293.6440
           5          17       294.6019
           5          18       295.4832
           5          19       288.2874
           5          20       280.7811
           5          21       284.6156
           5          22       276.9242
           5          23       263.9542
           5          24       266.5492
           5          25       249.3077
           5          26       223.3667
           5          27       214.6146
           5          28       217.3491
           5          29       234.5984
           5          30       234.6540
           5          31       215.3694
           5          32       213.0221
           5          33       217.4643
           5          34       222.6961
           5          35       234.4216
           5          36       243.2065
           5          37       247.6167
           5          38       248.3808
           5          39       248.7033
           5          40       247.0326
           5          41       245.9426
           5          42       251.7464
           5          43       260.8303
           5          44       267.2240
           5          45       266.1570
           5          46       266.8275
           5          47       276.2469
           5          48       286.6851
           5          49       292.8943
           5          50       292.0446
           5          51       293.9588
           5          52       300.3832
           5          53       303.9360
           5          54       304.7681
           5          55       305.0871
           5          56       305.0654
           5          57       305.3276
           5          58       305.2154
           5          59       305.5249
           5          60       307.2067
           5          61       311.1103
           5          62       320.3360
           5          63       331.9083
           5          64       344.2425
           5          65       361.0483
           5          66       387.7935
           5          67       418.9866
           5          68       445.1276
           5          69       465.1336
           5          70       484.1202
           5          71       499.8902
           5          72       506.4352
           5          73       503.6505
           5          74       498.3933
           5          75       493.1317
           5          76       474.9380
           5          77       453.7166
           5          78       450.1027
           5          79       454.5016
           5          80       454.8322
