EMEP_04x04
           i           j   heigt(m a.s.l.)
           3          51         0.0000
           3          52         0.0000
           3          53         0.0000
           3          54         0.0000
           3          55         0.0000
           3          56         0.0000
           3          57         0.0000
           3          58         0.0000
           3          59         0.0000
           3          60         0.0000
           3          61         0.0000
           3          62         0.0000
           3          63         0.0000
           3          64         0.0000
           3          65         0.0000
           3          66         0.0000
           3          67         0.0000
           3          68         0.0000
           3          69         0.0000
           3          70         0.0000
           3          71         0.0000
           3          72         0.0000
           3          73         0.0000
           3          74         0.0000
           3          75         0.0000
           3          76         0.0000
           3          77         0.0000
           3          78         0.0000
           3          79         0.0000
           3          80         0.0000
           3          81         0.0000
           3          82         0.0000
           3          83         0.0000
           3          84         0.0000
           3          85         0.0000
           3          86         0.0000
           3          87         0.0000
           3          88         0.0000
           3          89         0.0000
           3          90         0.0000
           3          91         0.0000
           3          92         0.0000
           3          93         0.0000
           3          94        12.6014
           3          95        55.9528
           3          96       372.3685
           3          97      1087.3342
           3          98      1688.5414
           3          99      1987.6279
           3         100      1873.3334
           3         101      1447.9325
           3         102      1232.3574
           3         103      1267.2610
           3         104      1296.8025
           3         105      1378.8057
           3         106      1600.5947
           3         107      1818.6273
           3         108      1879.7471
           3         109      1890.0898
           3         110      2010.4580
           3         111      2207.3125
           3         112      2369.3760
           3         113      2465.9038
           3         114      2468.3770
           3         115      2389.2097
           3         116      2277.2637
           3         117      2137.1255
           3         118      1981.6143
           3         119      1826.6025
           3         120      1669.6879
           3         121      1535.2734
           3         122      1463.2061
           3         123      1425.1912
           3         124      1417.4131
           3         125      1429.5702
           3         126      1415.7230
           3         127      1258.5549
           3         128      1036.0272
           3         129       784.9753
           3         130       648.1293
           4           1         0.0000
           4           2         0.0000
           4           3         0.0000
           4           4         0.0000
           4           5         0.0000
           4           6         0.0000
           4           7         0.0000
           4           8         0.0000
           4           9         0.0000
           4          10         0.0000
           4          11         0.0000
           4          12         0.0000
           4          13         0.0000
           4          14         0.0000
           4          15         0.0000
           4          16         0.0000
           4          17         0.0000
           4          18         0.4810
           4          19         2.0245
           4          20         4.5814
           4          21        17.7595
           4          22        32.9557
           4          23        14.8526
           4          24         2.1812
           4          25         0.5165
           4          26         0.0000
           4          27         0.0000
           4          28         0.0000
           4          29         0.0000
           4          30         0.0000
           4          31         0.0000
           4          32         0.0000
           4          33         0.0000
           4          34         0.0000
           4          35         0.0000
           4          36         0.0000
           4          37         0.0000
           4          38         0.0000
           4          39         0.0000
           4          40         0.0000
           4          41         0.0000
           4          42         0.0000
           4          43         0.0000
           4          44         0.0000
           4          45         0.0000
           4          46         0.0000
           4          47         0.0000
           4          48         0.0000
           4          49         0.0000
           4          50         0.0000
           4          51         0.0000
           4          52         0.0000
           4          53         0.0000
           4          54         0.0000
           4          55         0.0000
           4          56         0.0000
           4          57         0.0000
           4          58         0.0000
           4          59         0.0000
           4          60         0.0000
           4          61         0.0000
           4          62         0.0000
           4          63         0.0000
           4          64         0.0000
           4          65         0.0000
           4          66         0.0000
           4          67         0.0000
           4          68         0.0000
           4          69         0.0000
           4          70         0.0000
           4          71         0.0000
           4          72         0.0000
           4          73         0.0000
           4          74         0.0000
           4          75         0.0000
           4          76         0.0000
           4          77         0.0000
           4          78         0.0000
           4          79         0.0000
           4          80         0.0000
           4          81         0.0000
           4          82         0.0000
           4          83         0.0000
           4          84         0.0000
           4          85         0.0000
           4          86         0.0000
           4          87         0.0000
           4          88         0.0000
           4          89         0.0000
           4          90         0.0030
           4          91         0.0145
           4          92         0.0010
           4          93         0.1763
           4          94         6.9382
           4          95        30.7245
           4          96       264.0750
           4          97       929.9004
           4          98      1622.6382
           4          99      1998.2385
           4         100      1796.9644
           4         101      1258.9409
           4         102       998.8319
           4         103      1073.6145
           4         104      1131.4351
           4         105      1190.8826
           4         106      1441.9360
           4         107      1690.5767
           4         108      1746.8953
           4         109      1730.1169
           4         110      1845.6980
           4         111      2089.1682
           4         112      2298.4690
           4         113      2416.9697
           4         114      2423.3564
           4         115      2355.3477
           4         116      2251.9019
           4         117      2113.6733
           4         118      1950.9506
           4         119      1786.4219
           4         120      1617.7087
           4         121      1474.1631
           4         122      1404.7834
           4         123      1366.5042
           4         124      1352.5250
           4         125      1378.3174
           4         126      1353.4896
           4         127      1191.2860
           4         128       986.5359
           4         129       766.0457
           4         130       647.0098
           5           1         0.0000
           5           2         0.0000
           5           3         0.0000
           5           4         0.0000
           5           5         0.0000
           5           6         0.0000
           5           7         0.0000
           5           8         0.0000
           5           9         0.0000
           5          10         0.0000
           5          11         0.0000
           5          12         0.0000
           5          13         0.0000
           5          14         0.0000
           5          15         0.0000
           5          16         0.0000
           5          17         0.0000
           5          18         0.4363
           5          19         1.8390
           5          20         4.1008
           5          21        24.6387
           5          22        51.8651
           5          23        22.7952
           5          24         1.9140
           5          25         0.4532
           5          26         0.0000
           5          27         0.0000
           5          28         0.0000
           5          29         0.0000
           5          30         0.0000
           5          31         0.0000
           5          32         0.0000
           5          33         0.0000
           5          34         0.0000
           5          35         0.0000
           5          36         0.0000
           5          37         0.0000
           5          38         0.0000
           5          39         0.0000
           5          40         0.0000
           5          41         0.0000
           5          42         0.0000
           5          43         0.0000
           5          44         0.0000
           5          45         0.0000
           5          46         0.0000
           5          47         0.0000
           5          48         0.0000
           5          49         0.0000
           5          50         0.0000
           5          51         0.0000
           5          52         0.0000
           5          53         0.0000
           5          54         0.0000
           5          55         0.0000
           5          56         0.0000
           5          57         0.0000
           5          58         0.0000
           5          59         0.0000
           5          60         0.0000
           5          61         0.0000
           5          62         0.0000
