HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
 17    2    4    4    5    5    1    1    1    1    1    2    3    3
 18    2    4    4    5    5    1    1    1    1    1    2    3    3
 19    2    4    4    5    5    1    1    1    1    1    2    3    3
 20    2    4    4    5    5    1    1    1    1    1    2    3    3
 21    2    4    4    5    5    1    1    1    1    1    2    3    3
 22    2    4    4    5    5    1    1    1    1    1    2    3    3
 23    2    4    4    5    5    1    1    1    1    1    2    3    3
 24    2    4    4    5    5    1    1    1    1    1    2    3    3
 25    2    4    4    5    5    1    1    1    1    1    2    3    3
 26    2    4    4    5    5    1    1    1    1    1    2    3    3
 27    2    4    4    5    5    1    1    1    1    1    2    3    3
 28    2    4    4    5    5    1    1    1    1    1    2    3    3
 29    2    4    4    5    5    1    1    1    1    1    2    3    3
 30    2    4    4    5    5    1    1    1    1    1    2    3    3
 31    2    4    4    5    5    1    1    1    1    1    2    3    3
 32    2    4    4    5    5    1    1    1    1    1    2    3    3
 33    2    4    4    5    5    1    1    1    1    1    2    3    3
 34    2    4    4    5    5    1    1    1    1    1    2    3    3
 35    2    4    4    5    5    1    1    1    1    1    2    3    3
 36    2    4    4    5    5    1    1    1    1    1    2    3    3
 37    2    4    4    5    5    1    1    1    1    1    2    3    3
 38    2    4    4    5    5    1    1    1    1    1    2    3    3
 39    2    4    4    5    5    1    1    1    1    1    2    3    3
 40    2    4    4    5    5    1    1    1    1    1    2    3    3
 41    2    4    4    5    5    1    1    1    1    1    2    3    3
 42    2    4    4    5    5    1    1    1    1    1    2    3    3
 43    2    4    4    5    5    1    1    1    1    1    2    3    3
 44    2    4    4    5    5    1    1    1    1    1    2    3    3
 45    2    4    4    5    5    1    1    1    1    1    2    3    3
 46    2    4    4    5    5    1    1    1    1    1    2    3    3
 47    2    4    4    5    5    1    1    1    1    1    2    3    3
 48    2    4    4    5    5    1    1    1    1    1    2    3    3
 49    2    4    4    5    5    1    1    1    1    1    2    3    3
 50    2    4    4    5    5    1    1    1    1    1    2    3    3
 51    2    4    4    5    5    1    1    1    1    1    2    3    3
