PLN_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
107    1    4    4    5    5    1    1    1    1    1    2    3    4
108    1    4    4    5    5    1    1    1    1    1    2    3    4
109    1    4    4    5    5    1    1    1    1    1    2    3    4
110    1    4    4    5    5    1    1    1    1    1    2    3    4
111    1    4    4    5    5    1    1    1    1    1    2    3    4
112    1    4    4    5    5    1    1    1    1    1    2    3    4
113    1    4    4    5    5    1    1    1    1    1    2    3    4
114    1    4    4    5    5    1    1    1    1    1    2    3    4
115    1    4    4    5    5    1    1    1    1    1    2    3    4
116    1    4    4    5    5    1    1    1    1    1    2    3    4
117    1    4    4    5    5    1    1    1    1    1    2    3    4
118    1    4    4    5    5    1    1    1    1    1    2    3    4
119    1    4    4    5    5    1    1    1    1    1    2    3    4
120    1    4    4    5    5    1    1    1    1    1    2    3    4
121    1    4    4    5    5    1    1    1    1    1    2    3    4
122    1    4    4    5    5    1    1    1    1    1    2    3    4
123    1    4    4    5    5    1    1    1    1    1    2    3    4
124    1    4    4    5    5    1    1    1    1    1    2    3    4
125    1    4    4    5    5    1    1    1    1    1    2    3    4
126    1    4    4    5    5    1    1    1    1    1    2    3    4
127    1    4    4    5    5    1    1    1    1    1    2    3    4
128    1    4    4    5    5    1    1    1    1    1    2    3    4
129    1    4    4    5    5    1    1    1    1    1    2    3    4
130    1    4    4    5    5    1    1    1    1    1    2    3    4
131    1    4    4    5    5    1    1    1    1    1    2    3    4
132    1    4    4    5    5    1    1    1    1    1    2    3    4
133    1    4    4    5    5    1    1    1    1    1    2    3    4
134    1    4    4    5    5    1    1    1    1    1    2    3    4
135    1    4    4    5    5    1    1    1    1    1    2    3    4
136    1    4    4    5    5    1    1    1    1    1    2    3    4
137    1    4    4    5    5    1    1    1    1    1    2    3    4
138    1    4    4    5    5    1    1    1    1    1    2    3    4
139    1    4    4    5    5    1    1    1    1    1    2    3    4
140    1    4    4    5    5    1    1    1    1    1    2    3    4
141    1    4    4    5    5    1    1    1    1    1    2    3    4
142    1    4    4    5    5    1    1    1    1    1    2    3    4
143    1    4    4    5    5    1    1    1    1    1    2    3    4
144    1    4    4    5    5    1    1    1    1    1    2    3    4
145    1    4    4    5    5    1    1    1    1    1    2    3    4
146    1    4    4    5    5    1    1    1    1    1    2    3    4
  1    2    4    4    5    5    1    1    1    1    1    2    3    4
  2    2    4    4    5    5    1    1    1    1    1    2    3    4
  3    2    4    4    5    5    1    1    1    1    1    2    3    4
  4    2    4    4    5    5    1    1    1    1    1    2    3    4
  5    2    4    4    5    5    1    1    1    1    1    2    3    4
  6    2    4    4    5    5    1    1    1    1    1    2    3    4
  7    2    4    4    5    5    1    1    1    1    1    2    3    4
  8    2    4    4    5    5    1    1    1    1    1    2    3    4
  9    2    4    4    5    5    1    1    1    1    1    2    3    4
 10    2    4    4    5    5    1    1    1    1    1    2    3    4
 11    2    4    4    5    5    1    1    1    1    1    2    3    4
 12    2    4    4    5    5    1    1    1    1    1    2    3    4
 13    2    4    4    5    5    1    1    1    1    1    2    3    4
 14    2    4    4    5    5    1    1    1    1    1    2    3    4
 15    2    4    4    5    5    1    1    1    1    1    2    3    4
 16    2    4    4    5    5    1    1    1    1    1    2    3    4
 17    2    4    4    5    5    1    1    1    1    1    2    3    4
 18    2    4    4    5    5    1    1    1    1    1    2    3    4
 19    2    4    4    5    5    1    1    1    1    1    2    3    4
 20    2    4    4    5    5    1    1    1    1    1    2    3    4
 21    2    4    4    5    5    1    1    1    1    1    2    3    4
 22    2    4    4    5    5    1    1    1    1    1    2    3    4
 23    2    4    4    5    5    1    1    1    1    1    2    3    4
 24    2    4    4    5    5    1    1    1    1    1    2    3    4
 25    2    4    4    5    5    1    1    1    1    1    2    3    4
 26    2    4    4    5    5    1    1    1    1    1    2    3    4
 27    2    4    4    5    5    1    1    1    1    1    2    3    4
 28    2    4    4    5    5    1    1    1    1    1    2    3    4
 29    2    4    4    5    5    1    1    1    1    1    2    3    4
 30    2    4    4    5    5    1    1    1    1    1    2    3    4
 31    2    4    4    5    5    1    1    1    1    1    2    3    4
 32    2    4    4    5    5    1    1    1    1    1    2    3    4
 33    2    4    4    5    5    1    1    1    1    1    2    3    4
 34    2    4    4    5    5    1    1    1    1    1    2    3    4
 35    2    4    4    5    5    1    1    1    1    1    2    3    4
 36    2    4    4    5    5    1    1    1    1    1    2    3    4
 37    2    4    4    5    5    1    1    1    1    1    2    3    4
 38    2    4    4    5    5    1    1    1    1    1    2    3    4
 39    2    4    4    5    5    1    1    1    1    1    2    3    4
 40    2    4    4    5    5    1    1    1    1    1    2    3    4
 41    2    4    4    5    5    1    1    1    1    1    2    3    4
 42    2    4    4    5    5    1    1    1    1    1    2    3    4
 43    2    4    4    5    5    1    1    1    1    1    2    3    4
 44    2    4    4    5    5    1    1    1    1    1    2    3    4
 45    2    4    4    5    5    1    1    1    1    1    2    3    4
 46    2    4    4    5    5    1    1    1    1    1    2    3    4
 47    2    4    4    5    5    1    1    1    1    1    2    3    4
 48    2    4    4    5    5    1    1    1    1    1    2    3    4
 49    2    4    4    5    5    1    1    1    1    1    2    3    4
 50    2    4    4    5    5    1    1    1    1    1    2    3    4
 51    2    4    4    5    5    1    1    1    1    1    2    3    4
 52    2    4    4    5    5    1    1    1    1    1    2    3    4
 53    2    4    4    5    5    1    1    1    1    1    2    3    4
 54    2    4    4    5    5    1    1    1    1    1    2    3    4
 55    2    4    4    5    5    1    1    1    1    1    2    3    4
 56    2    4    4    5    5    1    1    1    1    1    2    3    4
 57    2    4    4    5    5    1    1    1    1    1    2    3    4
 58    2    4    4    5    5    1    1    1    1    1    2    3    4
 59    2    4    4    5    5    1    1    1    1    1    2    3    4
 60    2    4    4    5    5    1    1    1    1    1    2    3    4
 61    2    4    4    5    5    1    1    1    1    1    2    3    4
 62    2    4    4    5    5    1    1    1    1    1    2    3    4
 63    2    4    4    5    5    1    1    1    1    1    2    3    4
 64    2    4    4    5    5    1    1    1    1    1    2    3    4
 65    2    4    4    5    5    1    1    1    1    1    2    3    4
 66    2    4    4    5    5    1    1    1    1    1    2    3    4
 67    2    4    4    5    5    1    1    1    1    1    2    3    4
 68    2    4    4    5    5    1    1    1    1    1    2    3    4
 69    2    4    4    5    5    1    1    1    1    1    2    3    4
 70    2    4    4    5    5    1    1    1    1    1    2    3    4
 71    2    4    4    5    5    1    1    1    1    1    2    3    4
 72    2    4    4    5    5    1    1    1    1    1    2    3    4
 73    2    4    4    5    5    1    1    1    1    1    2    3    4
 74    2    4    4    5    5    1    1    1    1    1    2    3    4
 75    2    4    4    5    5    1    1    1    1    1    2    3    4
 76    2    4    4    5    5    1    1    1    1    1    2    3    4
 77    2    4    4    5    5    1    1    1    1    1    2    3    4
 78    2    4    4    5    5    1    1    1    1    1    2    3    4
 79    2    4    4    5    5    1    1    1    1    1    2    3    4
 80    2    4    4    5    5    1    1    1    1    1    2    3    4
 81    2    4    4    5    5    1    1    1    1    1    2    3    4
 82    2    4    4    5    5    1    1    1    1    1    2    3    4
 83    2    4    4    5    5    1    1    1    1    1    2    3    4
 84    2    4    4    5    5    1    1    1    1    1    2    3    4
 85    2    4    4    5    5    1    1    1    1    1    2    3    4
 86    2    4    4    5    5    1    1    1    1    1    2    3    4
 87    2    4    4    5    5    1    1    1    1    1    2    3    4
 88    2    4    4    5    5    1    1    1    1    1    2    3    4
 89    2    4    4    5    5    1    1    1    1    1    2    3    4
 90    2    4    4    5    5    1    1    1    1    1    2    3    4
 91    2    4    4    5    5    1    1    1    1    1    2    3    4
 92    2    4    4    5    5    1    1    1    1    1    2    3    4
 93    2    4    4    5    5    1    1    1    1    1    2    3    4
 94    2    4    4    5    5    1    1    1    1    1    2    3    4
 95    2    4    4    5    5    1    1    1    1    1    2    3    4
 96    2    4    4    5    5    1    1    1    1    1    2    3    4
 97    2    4    4    5    5    1    1    1    1    1    2    3    4
 98    2    4    4    5    5    1    1    1    1    1    2    3    4
 99    2    4    4    5    5    1    1    1    1    1    2    3    4
100    2    4    4    5    5    1    1    1    1    1    2    3    4
101    2    4    4    5    5    1    1    1    1    1    2    3    4
102    2    4    4    5    5    1    1    1    1    1    2    3    4
103    2    4    4    5    5    1    1    1    1    1    2    3    4
104    2    4    4    5    5    1    1    1    1    1    2    3    4
