GLOB_3x3
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1      2400.4463
           2           1      2385.3484
           3           1      2369.6506
           4           1      2353.5339
           5           1      2337.1799
           6           1      2320.7432
           7           1      2304.3826
           8           1      2288.2766
           9           1      2272.5984
          10           1      2257.4905
          11           1      2243.0828
          12           1      2229.5093
          13           1      2216.8755
          14           1      2205.2253
          15           1      2194.4998
          16           1      2184.5767
          17           1      2175.3279
          18           1      2166.6260
          19           1      2158.3452
          20           1      2150.3755
          21           1      2142.6404
          22           1      2135.0779
          23           1      2127.6138
          24           1      2120.1741
          25           1      2112.7275
          26           1      2105.2900
          27           1      2097.9062
          28           1      2090.6606
          29           1      2083.6531
          30           1      2076.9802
          31           1      2070.7400
          32           1      2065.0183
          33           1      2059.8811
          34           1      2055.3784
          35           1      2051.5479
          36           1      2048.4138
          37           1      2045.9976
          38           1      2044.3358
          39           1      2043.4583
          40           1      2043.3612
          41           1      2044.0220
          42           1      2045.4208
          43           1      2047.5391
          44           1      2050.3525
          45           1      2053.8401
          46           1      2057.9846
          47           1      2062.7710
          48           1      2068.1868
          49           1      2074.2268
          50           1      2080.8865
          51           1      2088.1560
          52           1      2096.0137
          53           1      2104.4333
          54           1      2113.3999
          55           1      2122.8977
          56           1      2132.8982
          57           1      2143.3665
          58           1      2154.2698
          59           1      2165.5791
          60           1      2177.2666
          61           1      2189.3042
          62           1      2201.6689
          63           1      2214.3440
          64           1      2227.3103
          65           1      2240.5454
          66           1      2254.0198
          67           1      2267.6965
          68           1      2281.5320
          69           1      2295.4780
          70           1      2309.4819
          71           1      2323.4858
          72           1      2337.4265
          73           1      2351.2397
          74           1      2364.8577
          75           1      2378.2122
          76           1      2391.2327
          77           1      2403.8489
          78           1      2415.9956
          79           1      2427.6106
          80           1      2438.6418
          81           1      2449.0476
          82           1      2458.7993
          83           1      2467.8794
          84           1      2476.2766
          85           1      2483.9880
          86           1      2491.0190
          87           1      2497.3833
          88           1      2503.0972
          89           1      2508.1812
          90           1      2512.6616
          91           1      2516.5664
          92           1      2519.9214
          93           1      2522.7522
          94           1      2525.0830
          95           1      2526.9382
          96           1      2528.3401
          97           1      2529.3064
          98           1      2529.8579
          99           1      2530.0093
         100           1      2529.7734
         101           1      2529.1567
         102           1      2528.1597
         103           1      2526.7783
         104           1      2525.0024
         105           1      2522.8181
         106           1      2520.2100
         107           1      2517.1548
         108           1      2513.6238
         109           1      2509.5718
         110           1      2504.9446
         111           1      2499.6992
         112           1      2493.7852
         113           1      2487.1313
         114           1      2479.6655
         115           1      2471.3398
         116           1      2462.1055
         117           1      2451.8872
         118           1      2440.6001
         119           1      2428.2095
         120           1      2414.7815
           1           2      2209.9441
           2           2      2116.3491
           3           2      2005.0924
           4           2      1875.5270
           5           2      1732.7943
           6           2      1586.4662
           7           2      1448.8143
           8           2      1333.7028
           9           2      1252.0731
          10           2      1207.2002
          11           2      1197.2948
          12           2      1219.7740
          13           2      1271.2233
          14           2      1347.7057
          15           2      1445.5614
          16           2      1561.4004
          17           2      1690.7051
          18           2      1826.8295
          19           2      1962.7836
          20           2      2091.9907
          21           2      2207.7173
          22           2      2304.6230
          23           2      2380.0159
          24           2      2431.6082
          25           2      2457.1489
          26           2      2456.7715
          27           2      2432.1985
          28           2      2384.6575
          29           2      2316.0637
          30           2      2231.2898
          31           2      2136.5522
          32           2      2037.3246
          33           2      1939.9108
          34           2      1851.3289
          35           2      1776.2311
          36           2      1716.5260
          37           2      1673.5549
          38           2      1648.2561
          39           2      1640.4309
          40           2      1649.2864
          41           2      1673.3412
          42           2      1709.8779
          43           2      1756.4695
          44           2      1812.4629
          45           2      1877.3098
          46           2      1949.4470
          47           2      2027.2806
          48           2      2108.5022
          49           2      2189.2114
          50           2      2265.8662
          51           2      2336.7935
          52           2      2401.4512
          53           2      2459.7051
          54           2      2511.5664
          55           2      2556.9258
          56           2      2595.8218
          57           2      2628.8408
          58           2      2656.9084
          59           2      2681.0559
          60           2      2702.3992
          61           2      2721.9741
          62           2      2740.6768
          63           2      2759.4619
          64           2      2779.4731
          65           2      2802.0532
          66           2      2828.7087
          67           2      2860.9204
          68           2      2899.8345
          69           2      2945.9790
          70           2      2999.1335
          71           2      3058.2681
          72           2      3121.5791
          73           2      3186.8938
          74           2      3252.1445
          75           2      3315.4800
          76           2      3375.2891
          77           2      3430.3530
          78           2      3479.7661
          79           2      3522.7175
          80           2      3558.5083
          81           2      3586.6401
          82           2      3606.8093
          83           2      3618.8848
          84           2      3622.9409
          85           2      3619.3223
          86           2      3608.6602
          87           2      3591.7974
          88           2      3569.6875
          89           2      3543.3210
          90           2      3513.6323
          91           2      3481.4524
          92           2      3447.5649
          93           2      3412.7544
          94           2      3377.7676
          95           2      3343.2271
          96           2      3309.5984
          97           2      3277.2571
          98           2      3246.4719
          99           2      3217.3296
         100           2      3189.7727
         101           2      3163.6143
         102           2      3138.5042
         103           2      3113.9885
         104           2      3089.6011
         105           2      3064.8408
         106           2      3039.1177
         107           2      3011.6497
         108           2      2981.3298
         109           2      2946.7200
         110           2      2906.1509
         111           2      2858.3057
         112           2      2803.0811
         113           2      2742.0698
         114           2      2677.5708
         115           2      2612.1050
         116           2      2548.4050
         117           2      2487.1223
         118           2      2425.6926
         119           2      2360.7246
         120           2      2289.8779
           1           3       359.1386
           2           3       362.9264
           3           3       358.8575
           4           3       333.5023
           5           3       281.2468
           6           3       213.3251
           7           3       149.1172
           8           3       103.5480
           9           3        81.7835
          10           3        82.7333
          11           3       104.8736
          12           3       144.8203
          13           3       204.3663
          14           3       286.6827
          15           3       395.1325
          16           3       528.0496
          17           3       680.6714
          18           3       847.5130
          19           3      1022.9090
          20           3      1203.9679
          21           3      1388.7949
          22           3      1573.1964
          23           3      1749.1837
          24           3      1905.5117
          25           3      2027.9984
          26           3      2099.9426
          27           3      2110.9109
          28           3      2061.5635
          29           3      1956.6161
          30           3      1798.4398
          31           3      1591.4069
          32           3      1351.5315
          33           3      1104.3617
          34           3       873.3709
          35           3       674.7234
          36           3       516.2129
          37           3       398.7326
          38           3       320.6559
          39           3       281.7582
          40           3       284.7859
          41           3       331.5006
          42           3       415.4400
          43           3       515.7803
          44           3       609.2875
          45           3       694.1494
          46           3       789.6330
          47           3       908.0926
          48           3      1037.9510
          49           3      1161.6398
          50           3      1273.7169
          51           3      1377.0312
          52           3      1476.0065
          53           3      1576.1876
          54           3      1682.6735
          55           3      1794.9585
          56           3      1907.1119
          57           3      2012.9567
          58           3      2109.7148
          59           3      2197.7310
          60           3      2278.7529
          61           3      2354.2336
          62           3      2423.8489
          63           3      2486.5186
          64           3      2542.4697
          65           3      2594.1567
          66           3      2645.7312
          67           3      2702.1438
          68           3      2768.2156
          69           3      2846.7197
          70           3      2937.1230
          71           3      3036.2004
          72           3      3139.3782
          73           3      3241.7041
          74           3      3338.5447
          75           3      3426.7136
          76           3      3505.0168
          77           3      3573.5852
          78           3      3633.2578
          79           3      3685.5176
          80           3      3732.1113
          81           3      3773.6218
          82           3      3808.3477
          83           3      3833.0518
          84           3      3844.7043
          85           3      3841.7637
